                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7114,                 2.7226,                 3.8896,                 1.8059,                0.00013,                   0.07,                0.00024,                0.00013,                  5e-05,                   0.03,                 0.0002,                  4e-05,                    nan,                 2.1894,                    nan,                    nan,             0.00065591,             0.00065591,             0.00065591
                      2,                 1.6996,                 1.3624,                 3.1978,                 1.7614,                0.07653,                0.02984,                0.00311,                0.00096,                0.10925,                   0.01,                0.00138,                0.00017,                    nan,                0.95749,                    nan,                    nan,                0.00132,                0.00132,                0.00132
                      3,                 1.8857,                 1.3988,                 2.9221,                 1.9059,                0.00016,                   0.05,                0.00024,                 0.0001,                0.06644,                   0.01,                0.00055,                0.00014,                    nan,                  1.227,                    nan,                    nan,              0.0019814,              0.0019814,              0.0019814
                      4,                 1.8987,                 1.2755,                 2.5876,                 1.8927,                0.14584,                   0.01,                0.00514,                0.00107,                0.14584,                   0.01,                0.00519,                0.00106,                    nan,                0.95036,                    nan,                    nan,              0.0019881,              0.0019881,              0.0019881
                      5,                 1.8216,                  1.232,                 2.2898,                 1.7964,                0.48165,                   0.01,                0.00406,                0.00175,                0.02501,                   0.03,                0.00854,                0.00251,                    nan,                0.74059,                    nan,                    nan,              0.0019881,              0.0019881,              0.0019881
                      6,                 1.7008,                 1.1149,                 2.0299,                 1.7145,                0.03872,                   0.02,                0.00167,                0.00098,                0.05809,                   0.03,                0.00461,                0.00099,                    nan,                0.63334,                    nan,                    nan,              0.0019842,              0.0019842,              0.0019842
                      7,                 1.6345,                 1.1252,                 1.8708,                 1.6656,                0.09611,                   0.02,                0.00767,                0.00272,                0.09611,                   0.02,                0.01346,                0.00461,                    nan,                0.77667,                    nan,                    nan,              0.0019802,              0.0019802,              0.0019802
                      8,                 1.5462,                 1.0177,                 1.7038,                  1.583,                0.45767,                   0.01,                0.00642,                0.00326,                0.07874,                   0.01,                0.00719,                0.00291,                    nan,                0.48226,                    nan,                    nan,              0.0019762,              0.0019762,              0.0019762
                      9,                 1.4179,                0.96217,                 1.6915,                 1.5013,                0.17434,                   0.03,                0.01379,                0.00879,                0.17434,                   0.03,                0.01306,                0.00448,                    nan,                0.50442,                    nan,                    nan,              0.0019723,              0.0019723,              0.0019723
                     10,                 1.3492,                0.94612,                 1.6194,                 1.4639,                0.10942,                   0.02,                0.00641,                0.00403,                0.10724,                   0.02,                 0.0081,                0.00302,                    nan,                0.46983,                    nan,                    nan,              0.0019683,              0.0019683,              0.0019683
                     11,                 1.3375,                0.90921,                 1.4877,                 1.4152,                0.15143,                   0.02,                0.01133,                0.00638,                0.15143,                   0.02,                0.01159,                0.00428,                    nan,                0.51713,                    nan,                    nan,              0.0019644,              0.0019644,              0.0019644
                     12,                 1.3048,                0.98864,                 1.4079,                 1.4131,                 0.2383,                   0.02,                0.00711,                0.00586,                0.36138,                   0.02,                0.01491,                0.00548,                    nan,                0.66555,                    nan,                    nan,              0.0019604,              0.0019604,              0.0019604
                     13,                 1.2901,                0.97473,                 1.4416,                 1.3976,                0.32179,                   0.02,                0.01206,                0.00976,                0.32179,                   0.02,                0.01341,                0.00575,                    nan,                0.56753,                    nan,                    nan,              0.0019564,              0.0019564,              0.0019564
                     14,                 1.2612,                0.90673,                 1.3856,                 1.4033,                0.05188,                   0.02,                0.00835,                0.00574,                0.04844,                   0.03,                0.01084,                0.00424,                    nan,                0.56034,                    nan,                    nan,              0.0019525,              0.0019525,              0.0019525
                     15,                 1.2814,                0.93561,                 1.3591,                 1.3876,                0.24957,                   0.02,                0.00544,                0.00368,                0.24957,                   0.02,                0.00593,                0.00212,                    nan,                0.55904,                    nan,                    nan,              0.0019485,              0.0019485,              0.0019485
                     16,                 1.1848,                0.83665,                 1.2413,                 1.3531,                  0.236,                   0.03,                0.01563,                0.01192,                0.21686,                   0.03,                0.01758,                0.00701,                    nan,                0.44322,                    nan,                    nan,              0.0019446,              0.0019446,              0.0019446
                     17,                 1.1835,                0.87707,                 1.3265,                 1.3288,                0.31117,                   0.02,                0.00976,                0.00729,                0.48569,                   0.02,                0.01301,                0.00426,                    nan,                0.52959,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                     18,                 1.1272,                0.85995,                 1.2519,                 1.2999,                0.21023,                   0.02,                 0.0107,                0.00646,                0.21023,                   0.02,                 0.0107,                 0.0023,                    nan,                0.70339,                    nan,                    nan,              0.0019366,              0.0019366,              0.0019366
                     19,                  1.152,                0.84892,                 1.1752,                 1.2863,                0.90974,                   0.02,                0.01828,                0.01317,                0.90974,                   0.02,                0.02024,                0.00969,                    nan,                 0.4094,                    nan,                    nan,              0.0019327,              0.0019327,              0.0019327
                     20,                 1.1626,                0.76655,                 1.1937,                 1.3525,                0.10059,                   0.03,                0.01734,                0.01364,                0.14589,                   0.05,                0.02542,                0.01187,                    nan,                0.51323,                    nan,                    nan,              0.0019287,              0.0019287,              0.0019287
                     21,                 1.1705,                0.81687,                 1.2974,                  1.334,                0.07644,                   0.03,                0.00775,                0.00466,                0.07644,                   0.03,                0.00855,                0.00327,                    nan,                0.44646,                    nan,                    nan,              0.0019248,              0.0019248,              0.0019248
                     22,                 1.0883,                0.77257,                  1.204,                   1.27,                0.17632,                   0.01,                0.01253,                0.00986,                0.17632,                   0.01,                0.01235,                0.00631,                    nan,                0.37847,                    nan,                    nan,              0.0019208,              0.0019208,              0.0019208
                     23,                 1.1207,                 0.8205,                 1.1798,                 1.3069,                0.21062,                   0.02,                0.00882,                0.00687,                0.21062,                   0.02,                 0.0112,                0.00512,                    nan,                0.41108,                    nan,                    nan,              0.0019168,              0.0019168,              0.0019168
                     24,                 1.0343,                0.82279,                 1.0966,                 1.2613,                0.49997,                   0.02,                0.01825,                0.01516,                0.05776,                   0.03,                0.02384,                0.01029,                    nan,                0.40721,                    nan,                    nan,              0.0019129,              0.0019129,              0.0019129
                     25,                 1.0861,                0.83293,                 1.1471,                 1.2649,                0.32461,                   0.02,                 0.0134,                0.00868,                0.16254,                   0.03,                 0.0202,                0.00677,                    nan,                0.34043,                    nan,                    nan,              0.0019089,              0.0019089,              0.0019089
                     26,                 1.0722,                0.77739,                 1.0664,                 1.2459,                0.26424,                   0.03,                0.02289,                0.01991,                0.36851,                   0.05,                 0.0385,                 0.0167,                    nan,                0.45219,                    nan,                    nan,               0.001905,               0.001905,               0.001905
                     27,                  1.009,                 0.8008,                 1.0612,                 1.2123,                 0.1334,                   0.03,                0.01195,                0.00825,                 0.1334,                   0.03,                0.01243,                0.00384,                    nan,                0.45542,                    nan,                    nan,               0.001901,               0.001901,               0.001901
