                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66779,                0.92933,                 2.3567,                 0.9701,                0.60561,                0.36219,                0.35619,                 0.2685,                0.61128,                  0.359,                0.36124,                0.26652,                    nan,                0.82352,                    nan,                    nan,              0.0033234,              0.0033234,              0.0033234
                      2,                0.63121,                0.53779,                 1.3296,                0.93055,                0.75233,                0.38001,                 0.4514,                0.33615,                0.75841,                0.38279,                0.45694,                0.34757,                    nan,                0.73007,                    nan,                    nan,              0.0066238,              0.0066238,              0.0066238
                      3,                0.68962,                0.55859,                 1.1826,                0.94769,                0.68902,                0.41048,                0.47625,                0.34277,                0.67891,                0.43665,                0.49899,                0.35587,                    nan,                0.85961,                    nan,                    nan,              0.0098912,              0.0098912,              0.0098912
                      4,                0.71103,                0.54119,                 1.0115,                0.96436,                0.65772,                 0.4501,                0.53405,                0.40534,                0.65719,                0.44746,                0.52591,                0.40175,                    nan,                0.65109,                    nan,                    nan,              0.0098515,              0.0098515,              0.0098515
                      5,                0.67432,                0.52269,                0.84196,                 0.9562,                 0.8724,                 0.4659,                0.56045,                0.45818,                0.87082,                0.46465,                0.56038,                0.45849,                    nan,                0.67367,                    nan,                    nan,              0.0098515,              0.0098515,              0.0098515
                      6,                0.62498,                0.48423,                0.72216,                0.94418,                0.77656,                0.48889,                 0.5934,                0.49333,                0.78577,                0.48787,                0.58042,                0.46574,                    nan,                0.62459,                    nan,                    nan,               0.009802,               0.009802,               0.009802
                      7,                0.60593,                0.45873,                0.67955,                0.93714,                0.59825,                 0.4405,                0.47839,                0.39973,                0.59611,                0.43987,                0.47817,                0.37695,                    nan,                0.60349,                    nan,                    nan,              0.0097525,              0.0097525,              0.0097525
                      8,                0.57991,                0.46261,                0.63575,                0.93208,                0.85625,                0.50425,                0.56694,                0.48151,                0.84956,                0.50424,                0.57383,                0.46666,                    nan,                 0.5723,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                      9,                0.56098,                0.43472,                0.58804,                0.93073,                0.72428,                0.50218,                0.60871,                0.52564,                0.73491,                0.50064,                0.61168,                0.50408,                    nan,                0.57439,                    nan,                    nan,              0.0096535,              0.0096535,              0.0096535
                     10,                0.54428,                 0.4405,                0.57393,                0.92117,                0.87081,                0.47263,                0.59696,                 0.5068,                0.87159,                0.47113,                0.60103,                0.49429,                    nan,                0.56658,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                     11,                0.52212,                0.40497,                0.52993,                0.91371,                0.76848,                0.50861,                0.57287,                0.50657,                0.77109,                0.51347,                0.57785,                0.48171,                    nan,                 0.6282,                    nan,                    nan,              0.0095545,              0.0095545,              0.0095545
                     12,                0.51376,                0.40409,                0.52447,                0.91169,                0.81128,                0.52386,                0.60936,                 0.5394,                0.81103,                0.52321,                0.61151,                0.51069,                    nan,                0.56465,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                     13,                0.50148,                0.39063,                0.50572,                0.90734,                0.89818,                0.50972,                0.61033,                0.53966,                0.89794,                0.51234,                0.61666,                0.51689,                    nan,                0.55482,                    nan,                    nan,              0.0094555,              0.0094555,              0.0094555
                     14,                0.49018,                0.39118,                0.48703,                0.90454,                0.79976,                0.49284,                0.60288,                0.52811,                0.80152,                0.49897,                0.60832,                0.51003,                    nan,                0.53371,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                     15,                0.48662,                0.38214,                0.47736,                0.90352,                0.79735,                0.52672,                0.61551,                0.54574,                0.81073,                0.52769,                0.61928,                 0.5223,                    nan,                0.56558,                    nan,                    nan,              0.0093565,              0.0093565,              0.0093565
                     16,                 0.4702,                0.37802,                0.46018,                0.89839,                0.88785,                0.50484,                0.59135,                0.53541,                0.86459,                0.50988,                0.59716,                0.50914,                    nan,                0.53135,                    nan,                    nan,               0.009307,               0.009307,               0.009307
                     17,                0.46289,                0.37748,                0.46139,                0.89688,                0.83038,                0.54412,                0.61898,                0.55393,                0.84161,                0.54108,                0.62395,                0.52397,                    nan,                0.50981,                    nan,                    nan,              0.0092575,              0.0092575,              0.0092575
                     18,                0.45488,                 0.3764,                 0.4505,                0.89603,                0.85598,                  0.488,                0.56262,                0.51477,                0.87447,                 0.4888,                0.56641,                 0.4849,                    nan,                0.50552,                    nan,                    nan,               0.009208,               0.009208,               0.009208
