                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.57331,                0.61116,                 1.5087,                 1.0062,                 0.8353,                0.83775,                0.85983,                0.73742,                0.87967,                0.84282,                0.90023,                 0.6569,                    nan,                0.49318,                    nan,                    nan,               0.003322,               0.003322,               0.003322
                      2,                0.51905,                 0.5277,                0.79173,                0.93874,                0.89327,                0.91062,                0.93052,                0.79014,                0.89674,                0.91179,                0.93788,                 0.7098,                    nan,                 0.4746,                    nan,                    nan,              0.0066487,              0.0066487,              0.0066487
                      3,                0.54436,                0.54701,                0.69853,                0.93351,                0.91805,                 0.8967,                 0.9412,                0.76234,                0.91779,                 0.8945,                0.94388,                 0.6816,                    nan,                0.48652,                    nan,                    nan,              0.0099688,              0.0099688,              0.0099688
                      4,                 0.5521,                0.53253,                0.65651,                0.93098,                0.91899,                0.90504,                0.95438,                0.81641,                0.91835,                0.90577,                0.95521,                0.72315,                    nan,                0.48409,                    nan,                    nan,              0.0099703,              0.0099703,              0.0099703
                      5,                0.53472,                 0.5314,                0.61875,                0.92115,                0.92584,                0.90777,                0.96213,                0.82802,                0.92475,                0.90556,                 0.9606,                0.72107,                    nan,                0.49591,                    nan,                    nan,              0.0099703,              0.0099703,              0.0099703
                      6,                0.52819,                0.51392,                0.59102,                 0.9166,                0.94438,                0.92784,                0.97649,                 0.8549,                0.94028,                0.93115,                0.97779,                0.75505,                    nan,                0.47706,                    nan,                    nan,              0.0099604,              0.0099604,              0.0099604
                      7,                0.50858,                0.50685,                0.56971,                0.91058,                 0.9423,                 0.9278,                0.97533,                0.86397,                0.94106,                 0.9283,                0.97524,                0.76583,                    nan,                0.44835,                    nan,                    nan,              0.0099505,              0.0099505,              0.0099505
                      8,                0.50143,                0.51225,                0.55038,                0.90418,                0.94144,                0.92683,                0.97622,                0.86898,                 0.9449,                0.92284,                0.97538,                0.77234,                    nan,                 0.4621,                    nan,                    nan,              0.0099406,              0.0099406,              0.0099406
                      9,                 0.4982,                0.50731,                0.53786,                 0.9132,                0.94533,                0.93539,                0.97515,                0.86865,                0.94413,                 0.9363,                0.97582,                0.77554,                    nan,                0.45923,                    nan,                    nan,              0.0099307,              0.0099307,              0.0099307
                     10,                0.48697,                0.50258,                0.53002,                0.89953,                0.96678,                0.94589,                0.98461,                0.88428,                0.96759,                0.94966,                0.98566,                0.80384,                    nan,                0.44565,                    nan,                    nan,              0.0099208,              0.0099208,              0.0099208
                     11,                0.47681,                0.48264,                0.51022,                0.89591,                0.95458,                0.94367,                 0.9817,                0.88648,                0.95345,                0.94138,                0.98042,                0.79192,                    nan,                0.43454,                    nan,                    nan,              0.0099109,              0.0099109,              0.0099109
                     12,                0.46573,                0.47777,                0.49631,                0.89016,                0.95644,                0.93829,                0.97839,                0.88251,                 0.9545,                0.93772,                0.97708,                0.78514,                    nan,                 0.4534,                    nan,                    nan,               0.009901,               0.009901,               0.009901
                     13,                0.46714,                0.48166,                0.49626,                0.89064,                0.94289,                0.94494,                0.97585,                0.88499,                0.94234,                0.94286,                 0.9745,                0.78106,                    nan,                0.44674,                    nan,                    nan,              0.0098911,              0.0098911,              0.0098911
                     14,                0.46518,                0.47882,                0.48881,                0.88957,                0.95634,                0.96257,                0.98409,                0.89656,                0.96774,                0.94949,                0.98363,                0.80655,                    nan,                0.42706,                    nan,                    nan,              0.0098812,              0.0098812,              0.0098812
                     15,                0.46027,                0.47129,                0.48515,                0.88908,                0.96892,                0.95861,                0.98547,                0.90166,                 0.9707,                 0.9544,                0.98488,                0.79383,                    nan,                 0.4396,                    nan,                    nan,              0.0098713,              0.0098713,              0.0098713
                     16,                0.45496,                0.46741,                0.47643,                0.88622,                0.97543,                0.95831,                0.98576,                0.90586,                0.97497,                0.95785,                0.98637,                0.81324,                    nan,                0.41898,                    nan,                    nan,              0.0098614,              0.0098614,              0.0098614
                     17,                0.44595,                0.47093,                0.46108,                0.88224,                0.96687,                0.96049,                0.98653,                0.91132,                0.96949,                0.95688,                0.98737,                0.80387,                    nan,                 0.4367,                    nan,                    nan,              0.0098515,              0.0098515,              0.0098515
                     18,                0.44351,                0.46779,                0.45471,                0.88237,                0.97169,                0.96066,                0.98334,                0.90796,                0.97062,                 0.9596,                 0.9831,                0.79963,                    nan,                0.44381,                    nan,                    nan,              0.0098416,              0.0098416,              0.0098416
                     19,                0.44573,                0.45941,                0.45563,                0.88255,                0.97129,                0.95688,                0.98756,                0.90875,                0.96913,                 0.9562,                0.98645,                0.80687,                    nan,                0.42586,                    nan,                    nan,              0.0098317,              0.0098317,              0.0098317
                     20,                0.43636,                 0.4584,                0.45054,                0.87836,                0.97609,                0.96315,                0.98791,                0.91113,                0.97657,                 0.9636,                0.98715,                0.82201,                    nan,                0.41024,                    nan,                    nan,              0.0098218,              0.0098218,              0.0098218
                     21,                0.43522,                0.45786,                0.44462,                0.87945,                0.97257,                0.96143,                0.98762,                0.91233,                0.97601,                0.95718,                0.98732,                0.80891,                    nan,                0.42344,                    nan,                    nan,              0.0098119,              0.0098119,              0.0098119
                     22,                0.43122,                0.45734,                0.44083,                0.87467,                0.97835,                0.95948,                0.98733,                0.91788,                0.97849,                0.95932,                0.98604,                0.81456,                    nan,                0.42038,                    nan,                    nan,               0.009802,               0.009802,               0.009802
                     23,                0.42943,                0.46377,                0.43985,                0.87312,                0.97529,                0.95271,                 0.9867,                 0.9146,                0.97504,                0.95246,                0.98608,                0.80533,                    nan,                0.42178,                    nan,                    nan,              0.0097921,              0.0097921,              0.0097921
                     24,                0.42878,                0.46018,                0.43183,                 0.8774,                0.98234,                0.96537,                0.98935,                0.92534,                0.98189,                0.96217,                0.98913,                0.82497,                    nan,                0.40324,                    nan,                    nan,              0.0097822,              0.0097822,              0.0097822
                     25,                0.43122,                0.45262,                0.43353,                 0.8753,                0.97211,                0.96662,                0.98733,                0.91893,                0.97046,                0.96374,                0.98613,                0.81516,                    nan,                0.40174,                    nan,                    nan,              0.0097723,              0.0097723,              0.0097723
                     26,                0.42552,                0.44937,                0.42504,                0.87489,                0.98008,                0.97098,                 0.9896,                0.92403,                0.98153,                0.96792,                0.99022,                0.82337,                    nan,                0.41584,                    nan,                    nan,              0.0097624,              0.0097624,              0.0097624
                     27,                0.42184,                0.45159,                0.42131,                0.87231,                0.97646,                0.96559,                0.98903,                0.92751,                0.97633,                0.96314,                0.98883,                0.82721,                    nan,                0.40215,                    nan,                    nan,              0.0097525,              0.0097525,              0.0097525
                     28,                0.41937,                0.45171,                0.42057,                0.87102,                0.97797,                0.96815,                0.98963,                0.93231,                0.97717,                0.96734,                0.98936,                0.82949,                    nan,                0.40954,                    nan,                    nan,              0.0097426,              0.0097426,              0.0097426
                     29,                0.41807,                0.45013,                0.42132,                0.87194,                0.98111,                0.97307,                0.98906,                0.93021,                0.98389,                0.96757,                0.98977,                0.82767,                    nan,                0.41187,                    nan,                    nan,              0.0097327,              0.0097327,              0.0097327
                     30,                0.41349,                0.44633,                0.41468,                 0.8692,                0.97797,                0.96878,                0.98932,                0.93072,                0.97615,                0.96711,                0.98951,                0.82476,                    nan,                  0.403,                    nan,                    nan,              0.0097228,              0.0097228,              0.0097228
                     31,                0.40953,                0.44043,                0.41007,                0.86889,                0.98456,                 0.9675,                 0.9904,                0.93545,                0.98239,                 0.9699,                0.99012,                0.82676,                    nan,                0.40472,                    nan,                    nan,              0.0097129,              0.0097129,              0.0097129
                     32,                0.40914,                0.44173,                0.40768,                0.86765,                0.98057,                0.97088,                0.98877,                0.92813,                0.98071,                0.97005,                0.98848,                0.81926,                    nan,                 0.4289,                    nan,                    nan,               0.009703,               0.009703,               0.009703
