                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6796,                 4.3909,                 3.0393,                 1.8056,                0.00153,                0.35484,                0.02565,                0.01046,                0.00028,                0.06452,                0.00022,                  5e-05,                    nan,                 3.1273,                    nan,                    nan,                0.00018,                0.00018,                0.00018
                      2,                 1.6441,                  2.631,                 2.5104,                 1.7653,                0.00153,                0.35484,                0.02814,                0.00556,                      0,                      0,                      0,                      0,                    nan,                  3.916,                    nan,                    nan,             0.00037962,             0.00037962,             0.00037962
                      3,                 1.5803,                 2.3138,                 2.4656,                 1.7717,                0.00194,                0.45161,                0.01381,                 0.0065,                0.00042,                0.09677,                0.00051,                0.00018,                    nan,                 4.1662,                    nan,                    nan,             0.00057885,             0.00057885,             0.00057885
                      4,                 1.5149,                  2.319,                 2.4504,                 1.6561,                0.20293,                0.03226,                0.03498,                0.00928,                0.00042,                0.09677,                0.00047,                0.00016,                    nan,                  3.166,                    nan,                    nan,             0.00077768,             0.00077768,             0.00077768
                      5,                 1.6312,                 2.2848,                 2.2682,                 1.7581,                0.10635,                0.03226,                0.01673,                  0.004,                0.00042,                0.09677,                0.00047,                0.00019,                    nan,                 3.3313,                    nan,                    nan,             0.00097612,             0.00097612,             0.00097612
                      6,                 1.5575,                 2.1832,                 2.2212,                 1.6431,                0.10863,                0.12903,                0.02759,                0.01098,                0.02029,                0.03226,                0.00315,                0.00056,                    nan,                 2.3039,                    nan,                    nan,              0.0011742,              0.0011742,              0.0011742
                      7,                 1.6523,                 2.4076,                 2.2441,                 1.6948,                0.31129,                0.12903,                0.07324,                0.02641,                0.00028,                0.06452,                 0.0004,                0.00017,                    nan,                 2.5355,                    nan,                    nan,              0.0013718,              0.0013718,              0.0013718
                      8,                 1.6809,                 2.1611,                 2.2538,                 1.7472,                0.13305,                0.09677,                0.05468,                0.01932,                0.00028,                0.06452,                0.00092,                0.00039,                    nan,                  3.043,                    nan,                    nan,              0.0015691,              0.0015691,              0.0015691
                      9,                 1.5921,                  2.379,                  2.311,                 1.7497,                0.08149,                0.09677,                0.02561,                0.00634,                0.00042,                0.09677,                0.00098,                0.00013,                    nan,                 2.5943,                    nan,                    nan,              0.0017659,              0.0017659,              0.0017659
                     10,                 1.6158,                 2.2006,                 2.0931,                 1.6791,                0.10909,                0.09677,                0.02059,                0.00585,                0.00864,                0.03226,                0.00084,                0.00012,                    nan,                 2.2267,                    nan,                    nan,              0.0019624,              0.0019624,              0.0019624
                     11,                 1.7651,                 2.1552,                 2.1589,                 1.8192,                 0.0936,                0.09677,                0.04374,                0.01077,                0.01644,                0.03226,                0.00138,                0.00031,                    nan,                 2.1436,                    nan,                    nan,              0.0019802,              0.0019802,              0.0019802
                     12,                 1.6994,                 2.1135,                 2.1142,                   1.78,                0.84874,                0.03226,                 0.0362,                0.01089,                      0,                      0,                      0,                      0,                    nan,                 2.2217,                    nan,                    nan,              0.0019802,              0.0019802,              0.0019802
                     13,                 1.7424,                 2.0198,                 2.0527,                 1.7519,                0.10099,                0.03226,                0.00937,                0.00187,                      0,                      0,                      0,                      0,                    nan,                 2.5607,                    nan,                    nan,              0.0019782,              0.0019782,              0.0019782
                     14,                 1.6704,                 2.0364,                  2.005,                 1.8441,                 0.0075,                0.03226,                0.00157,                0.00041,                 0.0075,                0.03226,                0.00068,                  7e-05,                    nan,                 2.7847,                    nan,                    nan,              0.0019762,              0.0019762,              0.0019762
                     15,                 1.7747,                 2.1702,                 2.0543,                 1.8392,                 0.0561,                0.09677,                0.03974,                0.01181,                0.00028,                0.06452,                0.00051,                  7e-05,                    nan,                 2.9486,                    nan,                    nan,              0.0019743,              0.0019743,              0.0019743
                     16,                  1.783,                 2.1252,                 2.2025,                 1.9748,                0.27325,                0.12903,                0.06977,                0.02288,                0.02961,                0.03226,                0.00185,                 0.0004,                    nan,                 2.1352,                    nan,                    nan,              0.0019723,              0.0019723,              0.0019723
                     17,                 1.7101,                 2.1036,                 2.0988,                 1.8058,                0.16511,                0.16129,                0.06623,                0.02196,                0.08642,                0.09677,                0.01064,                0.00183,                    nan,                 2.0155,                    nan,                    nan,              0.0019703,              0.0019703,              0.0019703
                     18,                 1.8839,                 2.2405,                 2.1269,                 1.9135,                0.14935,                0.16129,                0.07407,                  0.027,                0.05888,                0.06452,                0.00792,                0.00327,                    nan,                 1.9859,                    nan,                    nan,              0.0019683,              0.0019683,              0.0019683
                     19,                  1.671,                 2.0945,                 1.9099,                 1.8523,                0.20229,                0.09677,                0.08097,                0.02888,                0.00042,                0.09677,                0.00049,                  9e-05,                    nan,                 2.1089,                    nan,                    nan,              0.0019663,              0.0019663,              0.0019663
                     20,                 1.6961,                 2.0908,                 1.9997,                 1.8705,                0.33842,                0.12903,                0.09256,                0.02022,                 0.4314,                0.03226,                0.01785,                0.00356,                    nan,                 1.9967,                    nan,                    nan,              0.0019644,              0.0019644,              0.0019644
                     21,                 1.6729,                 2.0538,                 2.0568,                 1.7642,                0.13633,                0.16129,                0.03592,                0.00945,                0.04566,                0.09677,                 0.0061,                0.00156,                    nan,                 2.2048,                    nan,                    nan,              0.0019624,              0.0019624,              0.0019624
                     22,                  1.734,                 2.0801,                 1.9386,                  1.738,                0.37311,                0.09677,                0.08164,                 0.0421,                0.06955,                0.09677,                0.04174,                0.01273,                    nan,                 2.4395,                    nan,                    nan,              0.0019604,              0.0019604,              0.0019604
                     23,                  1.549,                  2.007,                 1.7513,                 1.6671,                0.35821,                0.09677,                0.06862,                0.02541,                0.42524,                0.03226,                0.03987,                0.00855,                    nan,                 2.2235,                    nan,                    nan,              0.0019584,              0.0019584,              0.0019584
                     24,                 1.5858,                 2.0707,                 1.9411,                 1.7056,                0.12623,                0.09677,                0.02639,                0.00417,                0.06045,                0.09677,                0.00853,                 0.0014,                    nan,                 2.2468,                    nan,                    nan,              0.0019564,              0.0019564,              0.0019564
                     25,                 1.5837,                 1.9283,                 1.8059,                 1.6825,                 0.1866,                0.16129,                0.03623,                0.00929,                0.31542,                0.06452,                 0.0521,                0.02172,                    nan,                  1.972,                    nan,                    nan,              0.0019545,              0.0019545,              0.0019545
